make_snake,make,model_snake,model,make_model_snake,make_model,range
audi,Audi,e_tron,e-tron,audi_e_tron,Audi e-tron,200
audi,Audi,e_tron_gt,e-tron GT,audi_e_tron_gt,Audi e-tron GT,250
audi,Audi,e_tron_s,e-tron S,audi_e_tron_s,Audi e-tron S,200
audi,Audi,e_tron_s_sportback,e-tron S Sportback,audi_e_tron_s_sportback,Audi e-tron S Sportback,200
audi,Audi,e_tron_sportback,e-tron Sportback,audi_e_tron_sportback,Audi e-tron Sportback,200
audi,Audi,q_4_e_tron,Q4 e-tron,audi_q_4_e_tron,Audi Q4 e-tron,250
audi,Audi,q_4_sportback_e_tron,Q4 Sportback e-tron,audi_q_4_sportback_e_tron,Audi Q4 Sportback e-tron,250
audi,Audi,q_8_e_tron,Q8 e-tron,audi_q_8_e_tron,Audi Q8 e-tron,300
audi,Audi,q_8_sportback_e_tron,Q8 Sportback e-tron,audi_q_8_sportback_e_tron,Audi Q8 Sportback e-tron,300
audi,Audi,rs_e_tron_gt,RS e-tron GT,audi_rs_e_tron_gt,Audi RS e-tron GT,250
audi,Audi,sq_8_e_tron,SQ8 e-tron,audi_sq_8_e_tron,Audi SQ8 e-tron,250
audi,Audi,sq_8_sportback_e_tron,SQ8 Sportback e-tron,audi_sq_8_sportback_e_tron,Audi SQ8 Sportback e-tron,250
bmw,BMW,i_3,i3,bmw_i_3,BMW i3,150
bmw,BMW,i_4,i4,bmw_i_4,BMW i4,300
bmw,BMW,i_5,i5,bmw_i_5,BMW i5,300
bmw,BMW,i_7,i7,bmw_i_7,BMW i7,300
bmw,BMW,i_x,iX,bmw_i_x,BMW iX,300
cadillac,Cadillac,lyriq,LYRIQ,cadillac_lyriq,Cadillac LYRIQ,300
chevrolet,Chevrolet,blazer_ev,Blazer EV,chevrolet_blazer_ev,Chevrolet Blazer EV,300
chevrolet,Chevrolet,bolt_euv,Bolt EUV,chevrolet_bolt_euv,Chevrolet Bolt EUV,250
