profileID,respID,qID,altID,obsID,enrollment_cash,monthly_cash,override,minimum_threshold,guaranteed_threshold,time_control_5pm_9am,time_control_24_7,no_choice
626,1,1,1,1,300,15,2,40,80,0,1,0
106,1,1,2,1,100,20,4,30,60,1,0,0
0,1,1,3,1,0,0,0,0,0,0,0,1
605,1,2,1,2,300,10,4,40,80,1,0,0
645,1,2,2,2,500,15,4,40,80,0,1,0
0,1,2,3,2,0,0,0,0,0,0,0,1
177,1,3,1,3,500,15,4,40,60,1,0,0
110,1,3,2,3,300,10,1,30,60,0,1,0
0,1,3,3,3,0,0,0,0,0,0,0,1
11,1,4,1,4,300,10,2,20,60,1,0,0
164,1,4,2,4,300,10,3,40,60,1,0,0
0,1,4,3,4,0,0,0,0,0,0,0,1
279,1,5,1,5,500,20,3,20,70,0,1,0
468,1,5,2,5,500,20,4,20,80,1,0,0
0,1,5,3,5,0,0,0,0,0,0,0,1
468,1,6,1,6,500,20,4,20,80,1,0,0
621,1,6,2,6,500,20,1,40,80,0,1,0
0,1,6,3,6,0,0,0,0,0,0,0,1
520,2,1,1,7,100,20,2,30,80,1,0,0
435,2,1,2,7,500,10,1,20,80,1,0,0
0,2,1,3,7,0,0,0,0,0,0,0,1
317,2,2,1,8,300,10,4,30,70,1,0,0
180,2,2,2,8,500,20,4,40,60,1,0,0
0,2,2,3,8,0,0,0,0,0,0,0,1
40,2,3,1,9,100,15,1,20,60,0,1,0
384,2,3,2,9,500,15,3,40,70,1,0,0
0,2,3,3,9,0,0,0,0,0,0,0,1
89,2,4,1,10,300,20,2,30,60,1,0,0
232,2,4,2,10,100,20,2,20,70,1,0,0
0,2,4,3,10,0,0,0,0,0,0,0,1
81,2,5,1,11,500,20,1,30,60,1,0,0
266,2,5,2,11,300,15,2,20,70,0,1,0
0,2,5,3,11,0,0,0,0,0,0,0,1
328,2,6,1,12,100,15,1,30,70,0,1,0
121,2,6,2,12,100,15,2,30,60,0,1,0
0,2,6,3,12,0,0,0,0,0,0,0,1
330,3,1,1,13,500,15,1,30,70,0,1,0
60,3,1,2,13,500,15,3,20,60,0,1,0
0,3,1,3,13,0,0,0,0,0,0,0,1
156,3,2,1,14,500,10,2,40,60,1,0,0
30,3,2,2,14,500,10,4,20,60,1,0,0
0,3,2,3,14,0,0,0,0,0,0,0,1
568,3,3,1,15,100,10,4,30,80,0,1,0
291,3,3,2,15,500,10,1,30,70,1,0,0
0,3,3,3,15,0,0,0,0,0,0,0,1
395,3,4,1,16,300,20,4,40,70,1,0,0
265,3,4,2,16,100,15,2,20,70,0,1,0
0,3,4,3,16,0,0,0,0,0,0,0,1
225,3,5,1,17,500,20,1,20,70,1,0,0
618,3,5,2,17,500,15,1,40,80,0,1,0
0,3,5,3,17,0,0,0,0,0,0,0,1
529,3,6,1,18,100,20,3,30,80,1,0,0
327,3,6,2,18,500,10,1,30,70,0,1,0
0,3,6,3,18,0,0,0,0,0,0,0,1
224,4,1,1,19,300,20,1,20,70,1,0,0
563,4,1,2,19,300,15,3,30,80,0,1,0
0,4,1,3,19,0,0,0,0,0,0,0,1
408,4,2,1,20,500,10,2,40,70,0,1,0
577,4,2,2,20,100,10,1,40,80,1,0,0
0,4,2,3,20,0,0,0,0,0,0,0,1
456,4,3,1,21,500,15,3,20,80,1,0,0
114,4,3,2,21,500,15,1,30,60,0,1,0
0,4,3,3,21,0,0,0,0,0,0,0,1
281,4,4,1,22,300,10,4,20,70,0,1,0
280,4,4,2,22,100,10,4,20,70,0,1,0
0,4,4,3,22,0,0,0,0,0,0,0,1
526,4,5,1,23,100,15,3,30,80,1,0,0
466,4,5,2,23,100,20,4,20,80,1,0,0
0,4,5,3,23,0,0,0,0,0,0,0,1
122,4,6,1,24,300,15,2,30,60,0,1,0
311,4,6,2,24,300,15,3,30,70,1,0,0
0,4,6,3,24,0,0,0,0,0,0,0,1
547,5,1,1,25,100,20,1,30,80,0,1,0
526,5,1,2,25,100,15,3,30,80,1,0,0
0,5,1,3,25,0,0,0,0,0,0,0,1
565,5,2,1,26,100,20,3,30,80,0,1,0
523,5,2,2,26,100,10,3,30,80,1,0,0
0,5,2,3,26,0,0,0,0,0,0,0,1
12,5,3,1,27,500,10,2,20,60,1,0,0
59,5,3,2,27,300,15,3,20,60,0,1,0
0,5,3,3,27,0,0,0,0,0,0,0,1
338,5,4,1,28,300,15,2,30,70,0,1,0
208,5,4,2,28,100,10,4,40,60,0,1,0
0,5,4,3,28,0,0,0,0,0,0,0,1
563,5,5,1,29,300,15,3,30,80,0,1,0
74,5,5,2,29,300,10,1,30,60,1,0,0
0,5,5,3,29,0,0,0,0,0,0,0,1
313,5,6,1,30,100,20,3,30,70,1,0,0
135,5,6,2,30,500,20,3,30,60,0,1,0
0,5,6,3,30,0,0,0,0,0,0,0,1
311,6,1,1,31,300,15,3,30,70,1,0,0
176,6,1,2,31,300,15,4,40,60,1,0,0
0,6,1,3,31,0,0,0,0,0,0,0,1
54,6,2,1,32,500,20,2,20,60,0,1,0
589,6,2,2,32,100,15,2,40,80,1,0,0
0,6,2,3,32,0,0,0,0,0,0,0,1
460,6,3,1,33,100,10,4,20,80,1,0,0
232,6,3,2,33,100,20,2,20,70,1,0,0
0,6,3,3,33,0,0,0,0,0,0,0,1
213,6,4,1,34,500,15,4,40,60,0,1,0
269,6,4,2,34,300,20,2,20,70,0,1,0
0,6,4,3,34,0,0,0,0,0,0,0,1
565,6,5,1,35,100,20,3,30,80,0,1,0
89,6,5,2,35,300,20,2,30,60,1,0,0
0,6,5,3,35,0,0,0,0,0,0,0,1
135,6,6,1,36,500,20,3,30,60,0,1,0
360,6,6,2,36,500,20,4,30,70,0,1,0
0,6,6,3,36,0,0,0,0,0,0,0,1
550,7,1,1,37,100,10,2,30,80,0,1,0
435,7,1,2,37,500,10,1,20,80,1,0,0
0,7,1,3,37,0,0,0,0,0,0,0,1
113,7,2,1,38,300,15,1,30,60,0,1,0
607,7,2,2,38,100,15,4,40,80,1,0,0
0,7,2,3,38,0,0,0,0,0,0,0,1
632,7,3,1,39,300,10,3,40,80,0,1,0
234,7,3,2,39,500,20,2,20,70,1,0,0
0,7,3,3,39,0,0,0,0,0,0,0,1
216,7,4,1,40,500,20,4,40,60,0,1,0
611,7,4,2,40,300,20,4,40,80,1,0,0
0,7,4,3,40,0,0,0,0,0,0,0,1
373,7,5,1,41,100,15,2,40,70,1,0,0
601,7,5,2,41,100,20,3,40,80,1,0,0
0,7,5,3,41,0,0,0,0,0,0,0,1
563,7,6,1,42,300,15,3,30,80,0,1,0
388,7,6,2,42,100,10,4,40,70,1,0,0
0,7,6,3,42,0,0,0,0,0,0,0,1
62,8,1,1,43,300,20,3,20,60,0,1,0
288,8,1,2,43,500,20,4,20,70,0,1,0
0,8,1,3,43,0,0,0,0,0,0,0,1
187,8,2,1,44,100,20,1,40,60,0,1,0
289,8,2,2,44,100,10,1,30,70,1,0,0
0,8,2,3,44,0,0,0,0,0,0,0,1
452,8,3,1,45,300,10,3,20,80,1,0,0
116,8,3,2,45,300,20,1,30,60,0,1,0
0,8,3,3,45,0,0,0,0,0,0,0,1
386,8,4,1,46,300,20,3,40,70,1,0,0
235,8,4,2,46,100,10,3,20,70,1,0,0
0,8,4,3,46,0,0,0,0,0,0,0,1
189,8,5,1,47,500,20,1,40,60,0,1,0
520,8,5,2,47,100,20,2,30,80,1,0,0
0,8,5,3,47,0,0,0,0,0,0,0,1
141,8,6,1,48,500,15,4,30,60,0,1,0
348,8,6,2,48,500,15,3,30,70,0,1,0
0,8,6,3,48,0,0,0,0,0,0,0,1
309,9,1,1,49,500,10,3,30,70,1,0,0
43,9,1,2,49,100,20,1,20,60,0,1,0
0,9,1,3,49,0,0,0,0,0,0,0,1
206,9,2,1,50,300,20,3,40,60,0,1,0
50,9,2,2,50,300,15,2,20,60,0,1,0
0,9,2,3,50,0,0,0,0,0,0,0,1
42,9,3,1,51,500,15,1,20,60,0,1,0
103,9,3,2,51,100,15,4,30,60,1,0,0
0,9,3,3,51,0,0,0,0,0,0,0,1
627,9,4,1,52,500,15,2,40,80,0,1,0
2,9,4,2,52,300,10,1,20,60,1,0,0
0,9,4,3,52,0,0,0,0,0,0,0,1
618,9,5,1,53,500,15,1,40,80,0,1,0
434,9,5,2,53,300,10,1,20,80,1,0,0
0,9,5,3,53,0,0,0,0,0,0,0,1
93,9,6,1,54,500,10,3,30,60,1,0,0
226,9,6,2,54,100,10,2,20,70,1,0,0
0,9,6,3,54,0,0,0,0,0,0,0,1
260,10,1,1,55,300,20,1,20,70,0,1,0
425,10,1,2,55,300,10,4,40,70,0,1,0
0,10,1,3,55,0,0,0,0,0,0,0,1
573,10,2,1,56,500,15,4,30,80,0,1,0
417,10,2,2,56,500,10,3,40,70,0,1,0
0,10,2,3,56,0,0,0,0,0,0,0,1
607,10,3,1,57,100,15,4,40,80,1,0,0
321,10,3,2,57,500,15,4,30,70,1,0,0
0,10,3,3,57,0,0,0,0,0,0,0,1
20,10,4,1,58,300,10,3,20,60,1,0,0
430,10,4,2,58,100,20,4,40,70,0,1,0
0,10,4,3,58,0,0,0,0,0,0,0,1
226,10,5,1,59,100,10,2,20,70,1,0,0
189,10,5,2,59,500,20,1,40,60,0,1,0
0,10,5,3,59,0,0,0,0,0,0,0,1
523,10,6,1,60,100,10,3,30,80,1,0,0
397,10,6,2,60,100,10,1,40,70,0,1,0
0,10,6,3,60,0,0,0,0,0,0,0,1
498,11,1,1,61,500,10,4,20,80,0,1,0
205,11,1,2,61,100,20,3,40,60,0,1,0
0,11,1,3,61,0,0,0,0,0,0,0,1
370,11,2,1,62,100,10,2,40,70,1,0,0
68,11,2,2,62,300,15,4,20,60,0,1,0
0,11,2,3,62,0,0,0,0,0,0,0,1
346,11,3,1,63,100,15,3,30,70,0,1,0
581,11,3,2,63,300,15,1,40,80,1,0,0
0,11,3,3,63,0,0,0,0,0,0,0,1
521,11,4,1,64,300,20,2,30,80,1,0,0
567,11,4,2,64,500,20,3,30,80,0,1,0
0,11,4,3,64,0,0,0,0,0,0,0,1
375,11,5,1,65,500,15,2,40,70,1,0,0
600,11,5,2,65,500,15,3,40,80,1,0,0
0,11,5,3,65,0,0,0,0,0,0,0,1
124,11,6,1,66,100,20,2,30,60,0,1,0
517,11,6,2,66,100,15,2,30,80,1,0,0
0,11,6,3,66,0,0,0,0,0,0,0,1
224,12,1,1,67,300,20,1,20,70,1,0,0
313,12,1,2,67,100,20,3,30,70,1,0,0
0,12,1,3,67,0,0,0,0,0,0,0,1
414,12,2,1,68,500,20,2,40,70,0,1,0
405,12,2,2,68,500,20,1,40,70,0,1,0
0,12,2,3,68,0,0,0,0,0,0,0,1
351,12,3,1,69,500,20,3,30,70,0,1,0
390,12,3,2,69,500,10,4,40,70,1,0,0
0,12,3,3,69,0,0,0,0,0,0,0,1
252,12,4,1,70,500,20,4,20,70,1,0,0
637,12,4,2,70,100,20,3,40,80,0,1,0
0,12,4,3,70,0,0,0,0,0,0,0,1
178,12,5,1,71,100,20,4,40,60,1,0,0
269,12,5,2,71,300,20,2,20,70,0,1,0
0,12,5,3,71,0,0,0,0,0,0,0,1
193,12,6,1,72,100,15,2,40,60,0,1,0
402,12,6,2,72,500,15,1,40,70,0,1,0
0,12,6,3,72,0,0,0,0,0,0,0,1
335,13,1,1,73,300,10,2,30,70,0,1,0
245,13,1,2,73,300,10,4,20,70,1,0,0
0,13,1,3,73,0,0,0,0,0,0,0,1
384,13,2,1,74,500,15,3,40,70,1,0,0
339,13,2,2,74,500,15,2,30,70,0,1,0
0,13,2,3,74,0,0,0,0,0,0,0,1
