profileID,respID,qID,altID,obsID,enrollment_cash,monthly_cash,override,minimum_threshold,guaranteed_threshold,no_choice
137,601,1,1,1,50,20,3,30,60,0
109,601,1,2,1,50,10,1,30,60,0
0,601,1,3,1,0,0,0,0,0,1
273,601,2,1,2,50,15,1,20,70,0
369,601,2,2,2,50,10,3,30,70,0
0,601,2,3,2,0,0,0,0,0,1
265,601,3,1,3,50,5,1,20,70,0
531,601,3,2,3,200,10,3,20,80,0
0,601,3,3,3,0,0,0,0,0,1
549,601,4,1,4,50,10,5,20,80,0
468,601,4,2,4,300,5,5,40,70,0
0,601,4,3,4,0,0,0,0,0,1
73,601,5,1,5,50,15,5,20,60,0
397,601,5,2,5,50,20,5,30,70,0
0,601,5,3,5,0,0,0,0,0,1
359,601,6,1,6,200,20,1,30,70,0
1,601,6,2,6,50,2,0,20,60,0
0,601,6,3,6,0,0,0,0,0,1
70,602,1,1,7,100,10,5,20,60,0
131,602,1,2,7,200,10,3,30,60,0
0,602,1,3,7,0,0,0,0,0,1
630,602,2,1,8,100,10,5,30,80,0
60,602,2,2,8,300,20,3,20,60,0
0,602,2,3,8,0,0,0,0,0,1
175,602,3,1,9,200,15,0,40,60,0
583,602,3,2,9,200,2,1,30,80,0
0,602,3,3,9,0,0,0,0,0,1
274,602,4,1,10,100,15,1,20,70,0
143,602,4,2,10,200,2,5,30,60,0
0,602,4,3,10,0,0,0,0,0,1
661,602,5,1,11,50,2,1,40,80,0
356,602,5,2,11,300,15,1,30,70,0
0,602,5,3,11,0,0,0,0,0,1
261,602,6,1,12,50,2,1,20,70,0
21,602,6,2,12,50,2,1,20,60,0
0,602,6,3,12,0,0,0,0,0,1
672,603,1,1,13,300,10,1,40,80,0
196,603,1,2,13,300,15,1,40,60,0
0,603,1,3,13,0,0,0,0,0,1
29,603,2,1,14,50,10,1,20,60,0
27,603,2,2,14,200,5,1,20,60,0
0,603,2,3,14,0,0,0,0,0,1
255,603,3,1,15,200,15,0,20,70,0
341,603,3,2,15,50,2,1,30,70,0
0,603,3,3,15,0,0,0,0,0,1
510,603,4,1,16,100,10,1,20,80,0
568,603,4,2,16,300,5,0,30,80,0
0,603,4,3,16,0,0,0,0,0,1
705,603,5,1,17,50,5,5,40,80,0
21,603,5,2,17,50,2,1,20,60,0
0,603,5,3,17,0,0,0,0,0,1
629,603,6,1,18,50,10,5,30,80,0
578,603,6,2,18,100,20,0,30,80,0
0,603,6,3,18,0,0,0,0,0,1
459,604,1,1,19,200,20,3,40,70,0
539,604,1,2,19,200,20,3,20,80,0
0,604,1,3,19,0,0,0,0,0,1
117,604,2,1,20,50,20,1,30,60,0
275,604,2,2,20,200,15,1,20,70,0
0,604,2,3,20,0,0,0,0,0,1
595,604,3,1,21,200,15,1,30,80,0
519,604,3,2,21,200,20,1,20,80,0
0,604,3,3,21,0,0,0,0,0,1
308,604,4,1,22,300,5,5,20,70,0
39,604,4,2,22,200,20,1,20,60,0
0,604,4,3,22,0,0,0,0,0,1
546,604,5,1,23,100,5,5,20,80,0
603,604,5,2,23,200,2,3,30,80,0
0,604,5,3,23,0,0,0,0,0,1
