profileID,respID,qID,altID,obsID,enrollment_cash,occurrence_cash,monthly_occurrence,lower_bound,guaranteed_threshold,no_choice
98,1,1,1,1,100,20,1,30,60,0
677,1,1,2,1,50,20,2,40,80,0
0,1,1,3,1,0,0,0,0,0,1
519,1,2,1,2,200,20,2,20,80,0
347,1,2,2,2,200,5,2,30,70,0
0,1,2,3,2,0,0,0,0,0,1
268,1,3,1,3,300,5,2,20,70,0
163,1,3,2,3,200,2,1,40,60,0
0,1,3,3,3,0,0,0,0,0,1
431,1,4,1,4,200,10,2,40,70,0
93,1,4,2,4,50,15,1,30,60,0
0,1,4,3,4,0,0,0,0,0,1
414,1,5,1,5,100,15,1,40,70,0
708,1,5,2,5,300,5,4,40,80,0
0,1,5,3,5,0,0,0,0,0,1
351,1,6,1,6,200,10,2,30,70,0
109,1,6,2,6,50,10,2,30,60,0
0,1,6,3,6,0,0,0,0,0,1
443,2,1,1,7,200,2,3,40,70,0
542,2,1,2,7,100,2,4,20,80,0
0,2,1,3,7,0,0,0,0,0,1
64,2,2,1,8,300,2,4,20,60,0
451,2,2,2,8,200,10,3,40,70,0
0,2,2,3,8,0,0,0,0,0,1
38,2,3,1,9,100,20,2,20,60,0
200,2,3,2,9,300,20,2,40,60,0
0,2,3,3,9,0,0,0,0,0,1
84,2,4,1,10,300,2,1,30,60,0
398,2,4,2,10,100,20,4,30,70,0
0,2,4,3,10,0,0,0,0,0,1
711,2,5,1,11,200,10,4,40,80,0
295,2,5,2,11,200,15,3,20,70,0
0,2,5,3,11,0,0,0,0,0,1
401,2,6,1,12,50,2,1,40,70,0
136,2,6,2,12,300,15,3,30,60,0
0,2,6,3,12,0,0,0,0,0,1
295,3,1,1,13,200,15,3,20,70,0
639,3,1,2,13,200,20,4,30,80,0
0,3,1,3,13,0,0,0,0,0,1
445,3,2,1,14,50,5,3,40,70,0
318,3,2,2,14,100,20,4,20,70,0
0,3,2,3,14,0,0,0,0,0,1
488,3,3,1,15,300,5,1,20,80,0
534,3,3,2,15,100,15,3,20,80,0
0,3,3,3,15,0,0,0,0,0,1
111,3,4,1,16,200,10,2,30,60,0
371,3,4,2,16,200,10,3,30,70,0
0,3,4,3,16,0,0,0,0,0,1
657,3,5,1,17,50,20,1,40,80,0
201,3,5,2,17,50,2,3,40,60,0
0,3,5,3,17,0,0,0,0,0,1
495,3,6,1,18,200,15,1,20,80,0
326,3,6,2,18,100,5,1,30,70,0
0,3,6,3,18,0,0,0,0,0,1
577,4,1,1,19,50,20,1,30,80,0
405,4,1,2,19,50,5,1,40,70,0
0,4,1,3,19,0,0,0,0,0,1
300,4,2,1,20,300,20,3,20,70,0
233,4,2,2,20,50,15,4,40,60,0
0,4,2,3,20,0,0,0,0,0,1
119,4,3,1,21,200,20,2,30,60,0
528,4,3,2,21,300,5,3,20,80,0
0,4,3,3,21,0,0,0,0,0,1
21,4,4,1,22,50,2,2,20,60,0
656,4,4,2,22,300,15,1,40,80,0
0,4,4,3,22,0,0,0,0,0,1
337,4,5,1,23,50,20,1,30,70,0
309,4,5,2,23,50,10,4,20,70,0
0,4,5,3,23,0,0,0,0,0,1
161,4,6,1,24,50,2,1,40,60,0
329,4,6,2,24,50,10,1,30,70,0
0,4,6,3,24,0,0,0,0,0,1
226,5,1,1,25,100,5,4,40,60,0
293,5,1,2,25,50,15,3,20,70,0
0,5,1,3,25,0,0,0,0,0,1
