STARTED,IQ17_01,IQ17_02,IQ18,IQ18_04,IQ19,IQ19_06,IQ20,IQ20_06,IQ21,IQ21_01,IQ21_02,IQ21_03,IQ21_04,IQ21_05,IQ21_06,VG03,VG03_05,VG02,VG02_03,IN04,IN04_01,IN04_02,IN04_03,IN08,IN08_01,IN08_02,IN08_03,GI01_01,GI01_02,GI01_04,GI01_06,GI01_09,GI01_10,GC02_01,GC02_02,GC02_03,GC02_04,GC02_08,GC02_05,GC02_09,AT01_01,AT01_02,AT01_03,AT01_04,AT01_05,CN01_02,CN01_03,CN01_04,IC01_06,IC01_07,IC01_05,IC01_08,IC01_09,IC03_01,IC03_02,IC03_03,FI01_01,FI01_02,FI01_03,FI02_01,FI03_01,PI14,PI14_03,PI15,PI16,PI16_03,PI17,PI17_12,PI19,PI20,PI20_04,V107,V107_04,V109,V109_06,V110,V111,V111_05,V112_01,V106,V113,V113_07,V114,V115_01,V115_01a,V116,V202,V205,V205_04,V207,V207_06,V208,V209,V209_05,V210_01,V204,V211,V211_07,V212,V213_01,V213_01a,V214,V309,V301,V301_04,V304,V304_06,V305,V306,V306_05,V307_01,V302,V312,V312_07,V313,V314_01,V314_01a,V315,EQ02,EQ06,EQ07,EQ08,EQ09_01,EQ09_02,EQ09_03,EQ09_04,EQ09_05,EQ09_06,EQ10_01,EQ10_05,EQ10_06,EQ10_07,EQ10_08,EQ10_09,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME033,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME,income,origin,PI21,check1,check2,check3,3checks,car_type,trial_name,charging
2021-02-16 11:14:25,5,5,4,OVO V2G Nissan,5,,1,,1,1,1,1,1,1,2,3,,-1,,3,2,2,2,1,1,1,2,5,5,1,4,2,1,1,5,5,5,-1,5,2,2,4,-1,2,1,2,4,1,4,5,5,1,5,1,1,5,5,4,4,"I like the idea of assisting in a stable power network. However this has to be combined with  if not financial benefits, at least a financial break even in order to make it worth my while (see below)",As a user (who is in a facebook group with other users) the perception is that OVO have not allowed V2G users to access their best tariffs. Thus mitigating any financial benefit. The only users seeing a benefit seem to be those with solar power. I have a year left on the trial and I'm seriously considering getting rid of the V2G charger so I can access cheaper energy tariffs. OVO have not helped this trial at all as they are perceived as taking financial advantage of triallists,2,,4,1,,9,,2,2,,3,,3,,1,2,,30000,4,1,,4,62,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,1,1,1,1,1,1,5,2,4,4,1,2,7,6,43,17,24,3,8,40,9,8,8,8,43,34,11,25,13,41,283,65,122,32,6,,,,,,6,14,21,24,9,930,,2021-02-16 11:29:57,1,0,33,33,0,0,1.47,26,6,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-16 15:25:36,5,5,4,V2G OVO trial,6,"i have an indra v2g charger and a ""dumb"" alfen type 2 charger",1,,2,2,2,1,1,1,1,4,,2,,3,2,2,2,1,1,1,2,5,5,2,5,2,1,4,5,4,3,-1,4,4,4,5,4,4,4,2,2,2,5,3,5,4,5,3,5,5,5,5,5,"The ability to charge up at a low cost and export when electricity costs are high.
I would also like the option to charge up at low cost times and use the energy I have stored in the car to run the houst at peak times, then export any additional power after that.
 ","The cost of the charger if I wasn't in a trial.
",2,,4,2,,2,,2,3,,1,,4,,1,1,,12000,4,1,,1,30,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,1,1,1,1,1,1,4,4,4,4,1,2,13,13,113,19,29,4,3,3,3,5,2,17,84,66,36,31,23,72,173,70,68,31,7,,,,,,12,16,23,63,17,1016,,2021-02-16 15:42:32,1,0,33,33,0,0,1.35,37,4,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-16 17:46:19,5,5,4,OVO ,6,smart and v2g ,1,,2,2,2,1,1,1,1,5,5 years ,4,,3,2,2,2,3,2,2,2,5,5,2,5,1,1,5,4,3,2,-1,5,3,3,5,4,3,1,1,3,3,3,5,5,5,3,1,1,1,3,5,5,Allowing the house to be supplied with power in the event of a power cut ,"The financial side, V2G is inefficient as well as using my vehicle battery, it needs to be a worth while situation to use it such as a power cut or financial gain   ",2,,3,2,,2,,2,4,5,1,,1,,1,1,,12000,4,1,,4,82,1,1,1,1,,2,,1,1,,8000,4,1,,1,62,1,1,2,,,,,,,,,,,,,,,,1,5,4,4,2,2,2,2,2,2,3,3,3,3,5,2,7,4,37,34,18,2,5,8,4,2,3,10,58,52,17,40,19,50,152,59,43,22,4,31,13,9,,,4,27,26,34,14,808,,2021-02-16 17:59:48,1,0,33,33,0,0,1.64,41,6,smedia,,1.0,1.0,0.0,2.0,BEV,ovo_v2g,v2g
2021-02-16 17:48:56,5,5,4,OVO Kaluza,6,1x v2g 1x granny,1,,3,2,1,1,1,2,2,4,,4,,2,1,2,2,2,1,2,2,5,5,2,5,2,2,4,5,5,3,-1,3,4,5,5,4,5,5,2,1,2,5,4,5,3,5,4,5,5,5,5,5,Export payback and balancing grid,Cost of installation,1,,2,2,,7,,2,2,,1,,3,,1,1,,16000,4,4,,1,30,1,1,1,1,,3,,1,1,,22000,4,4,,1,24,1,1,,,,,,,,,,,,,,,,,1,5,1,1,-1,1,2,2,1,2,5,4,5,4,1,1,4,6,52,13,20,9,2,4,2,11,3,27,75,46,10,22,18,32,35,46,40,24,4,28,10,,,,5,11,50,34,9,652,,2021-02-16 17:59:48,1,0,33,33,0,0,1.78,55,5,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-16 18:48:48,2,5,4,Ovo,5,,5,,3,2,2,2,1,1,1,3,,4,,2,2,2,1,1,1,1,2,4,5,1,5,1,1,3,5,5,2,-1,2,3,3,5,4,2,5,1,1,1,5,3,5,5,5,1,1,5,1,3,5,"Savings on my energy bill
Helping to balance the grid",No financial incentives ,1,,6,2,,10,,2,2,,1,,3,,2,1,,5000,4,1,,1,30,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,5,1,-1,1,1,1,1,1,2,4,4,1,2,16,15,38,13,31,9,8,20,19,8,21,15,48,83,12,38,26,152,111,158,221,21,10,,,,,,17,30,57,97,19,1084,,2021-02-16 19:10:41,1,0,33,33,0,0,0.91,5,4,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-16 19:06:45,4,4,4,Nissan/Indra/Kaluza/OVO,5,"initial ev charger is a dumb eo 7kwh unit, the v2g came later",1,,1,2,1,1,1,1,1,5,over 3yrs,4,,1,1,2,1,1,1,1,2,5,5,2,4,4,1,4,5,5,1,-1,3,4,5,5,4,4,5,3,1,1,5,4,5,3,5,2,5,5,3,5,5,"The ability to help balance the Grid, reduce our Carbon footprint by exporting reducing the need to power fossil burning Power Stations and rely more on renewables.","Cost, is probably the main factor, if the unit was too expensive the uptake would be low and not good for roll out. If export tariffs were poor you would also have low volume take up.

reasonable unit cost with a fair price structure to balance import and export cost most would probably not mind breaking even and not in it to make money.",1,,4,2,,2,,1,2,,2,,1,,1,1,,6000,4,1,,1,62,1,1,1,1,,4,,1,1,,6000,4,1,,4,30,1,1,,,,,,,,,,,,,,,,,1,5,1,1,2,-1,2,2,2,2,5,1,4,4,1,1,20,21,116,232,23,4,12,39,26,26,14,13,70,53,17,28,194,92,401,61,85,49,11,37,34,,,,9,14,59,75,14,1465,,2021-02-16 19:37:34,1,0,33,33,0,0,0.85,6,2,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-16 19:08:07,5,5,4,Ovo,6,pod-point and v2g,1,,1,1,1,1,1,1,2,4,,4,,2,2,2,1,1,1,1,2,5,4,1,5,1,1,3,5,5,2,-1,5,4,4,5,4,3,4,1,3,3,5,5,5,-1,5,3,5,5,5,5,5,Balancing the grid,Cost of the current units and energy tariffs ,2,,3,1,,9,,2,2,,1,,4,,1,1,,8000,4,1,,1,30,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,1,-1,-1,2,2,2,2,2,1,1,1,1,3,17,8,50,20,25,3,6,13,6,8,11,15,63,97,12,32,54,63,57,56,114,44,5,,,,,,9,45,49,53,34,969,,2021-02-16 19:24:16,1,0,33,33,0,0,1.13,12,5,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-16 19:21:19,4,5,4,Electric Nation / Crowd Charge ,6,waiting for my v2g charger to be installed. currently have a ‘dumb’ 7kw charger,1,,3,2,2,1,1,2,1,5,4.5years,4,,3,2,2,2,1,1,1,2,5,5,1,5,5,4,5,5,5,3,-1,3,2,3,4,4,4,4,4,1,2,5,5,5,5,5,1,4,5,1,5,5,Financial benefits; possibility of V2H; Grid support,Cost. ,2,,4,1,,10,,1,1,,1,,4,,1,1,,8000,4,1,,4,40,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,1,1,1,1,1,1,4,4,4,5,1,2,8,7,101,18,23,5,3,16,9,13,9,12,43,39,15,24,73,34,79,38,44,31,,,,,,,9,15,35,143,9,714,,2021-02-16 19:35:34,1,0,33,33,0,0,1.38,22,3,smedia,,1.0,1.0,1.0,3.0,BEV,electric_nation,v2g_new
2021-02-16 20:27:38,5,5,4,Ovo kuluza,6,"indra v2g, podpoint",4,,2,2,2,1,1,1,1,4,,4,,2,2,2,1,3,2,2,2,5,5,1,5,1,1,1,3,5,3,-1,3,3,5,5,2,5,5,2,2,4,5,5,5,5,3,1,2,3,5,5,5,"Impact on battery health
Ability to override if needed
Ability to control unit to reduce costs via time off day tariff and potentially variable export tariff
Isolation from network to power house in case of grid outage","Lack of control of battery usage and state of charge at specific times.
Lack of financial incentives
Unreliable chargers
",1,,4,2,,10,,2,2,,1,,5,,1,1,,11000,4,1,,2,24,1,1,1,1,,4,,3,1,,2000,1,,,,,,1,,,,,,,,,,,,,,,,,1,5,1,1,-1,-1,1,1,-1,1,4,5,5,4,1,1,15,15,52,18,30,6,6,23,7,17,14,18,50,58,11,27,25,47,235,52,71,28,12,56,,,,,13,23,39,39,21,1028,,2021-02-16 20:44:46,1,0,33,33,0,0,1.06,8,1,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-16 22:23:08,5,5,4,OVO,6,v2g and unmanaged charger,1,,1,2,1,1,1,1,1,5,6.5 years,4,,2,2,2,1,3,2,2,2,4,4,2,4,2,3,4,5,5,2,-1,4,5,5,5,4,4,2,2,1,1,5,5,5,5,5,2,4,5,2,5,5,"Earn money, keep battery healthy","Poor export rates, expensive equipment, hard to use our manage",1,,4,2,,9,,2,2,,1,,2,,2,1,,12000,4,1,,1,40,1,1,1,1,,6,6.5,2,1,,4000,4,1,,1,24,1,1,,,,,,,,,,,,,,,,,1,4,3,1,-1,-1,1,1,2,1,4,3,3,4,5,3,33,15,75,35,32,8,6,19,13,5,7,25,111,80,24,50,31,62,153,66,77,42,6,55,11,,,,10,29,67,67,34,1248,,2021-02-16 22:43:56,1,0,33,33,0,0,0.93,6,5,smedia,,1.0,1.0,0.0,2.0,BEV,ovo_v2g,v2g
2021-02-16 23:32:25,4,4,4,OVO V2G,5,,4,,2,2,1,1,1,1,2,2,,4,,3,2,2,2,1,1,1,2,4,5,2,-1,3,4,5,5,5,4,-1,5,4,-1,5,5,5,3,2,4,4,4,4,5,1,4,1,5,5,5,5,5,Reward/Financial Benefit while car sits on the drive,"DNO approval, size and requirements for installation.",1,,2,2,,8,,3,2,,1,,4,,1,1,,8000,4,1,,1,24,1,1,1,1,,4,,2,2,,8000,1,,,,,,1,,,,,,,,,,,,,,,,,1,5,1,1,-1,-1,1,1,1,1,4,4,4,4,1,3,7,11,31,8,22,5,6,23,11,9,11,15,54,32,15,19,16,40,75,55,84,31,6,52,,,,,5,15,27,35,22,742,,2021-02-16 23:44:47,1,0,33,33,0,0,1.39,20,5,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
2021-02-17 08:24:51,4,4,1,,1,,5,,3,1,2,2,1,2,1,,,,,2,1,2,2,1,1,1,2,5,3,4,4,5,2,5,5,3,5,-1,4,2,4,3,3,5,4,2,4,5,4,5,5,5,3,4,5,5,1,5,5,Using solar during the day to charge vehicle enabling me to shift peak time consumption ,Need to fit smart meter to 3 phase supply. Initial cost of v2g charger,2,,5,2,,2,,2,3,,1,,2,,1,1,,11000,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,1,1,2,2,1,1,2,2,4,4,1,2,18,13,31,,33,6,16,19,29,109,13,25,85,52,22,42,28,75,268,79,90,,13,,,,,,10,23,53,57,24,1137,,2021-02-17 08:45:24,1,0,33,33,0,0,0.82,2,6,smedia,,1.0,1.0,1.0,3.0,ICEV,,no_charger
2021-02-17 10:06:44,4,4,4,Ovo,5,,1,,2,2,1,1,1,1,2,4,,4,,2,2,2,1,1,1,1,2,4,5,2,3,3,2,4,4,5,3,-1,4,3,4,4,4,4,3,2,2,2,5,4,5,-1,-1,3,4,4,3,4,5,Grid balancing,None,1,,3,2,,10,,2,2,,3,,4,,1,1,,13000,4,1,,1,40,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,-1,-1,-1,1,1,-1,4,4,4,4,1,2,14,9,43,10,19,8,13,15,7,7,9,12,45,48,13,28,17,52,36,36,65,18,6,,,,,,5,11,18,27,22,613,,2021-02-17 10:16:57,1,0,33,33,0,0,1.52,28,5,smedia,,1.0,1.0,1.0,3.0,BEV,ovo_v2g,v2g
