profileID,respID,qID,altID,obsID,upfront,discount,window,guaranteed,lv_2_charger_No,lv_2_charger_Yes,no_choice
120,1,1,1,1,500,25,2,50,0,1,0
186,1,1,2,1,500,10,2,75,0,1,0
0,1,1,3,1,0,0,0,0,0,0,1
132,1,2,1,2,500,10,4,50,0,1,0
22,1,2,2,2,100,10,1,25,0,1,0
0,1,2,3,2,0,0,0,0,0,0,1
31,1,3,1,3,100,50,1,25,1,0,0
162,1,3,2,3,500,50,0.5,75,0,1,0
0,1,3,3,3,0,0,0,0,0,0,1
210,1,4,1,4,500,25,4,75,0,1,0
49,1,4,2,4,100,50,2,25,1,0,0
0,1,4,3,4,0,0,0,0,0,0,1
158,1,5,1,5,300,50,0.5,75,1,0,0
146,1,5,2,5,300,10,0.5,75,1,0,0
0,1,5,3,5,0,0,0,0,0,0,1
12,1,6,1,6,500,25,0.5,25,0,1,0
40,1,6,2,6,100,10,2,25,0,1,0
0,1,6,3,6,0,0,0,0,0,0,1
16,1,7,1,7,100,50,0.5,25,0,1,0
180,1,7,2,7,500,50,1,75,0,1,0
0,1,7,3,7,0,0,0,0,0,0,1
136,1,8,1,8,100,25,4,50,0,1,0
123,1,8,2,8,500,50,2,50,1,0,0
0,1,8,3,8,0,0,0,0,0,0,1
153,2,1,1,9,500,25,0.5,75,1,0,0
69,2,1,2,9,500,50,4,25,1,0,0
0,2,1,3,9,0,0,0,0,0,0,1
69,2,2,1,10,500,50,4,25,1,0,0
210,2,2,2,10,500,25,4,75,0,1,0
0,2,2,3,10,0,0,0,0,0,0,1
75,2,3,1,11,500,10,0.5,50,1,0,0
196,2,3,2,11,100,50,2,75,0,1,0
0,2,3,3,11,0,0,0,0,0,0,1
64,2,4,1,12,100,25,4,25,0,1,0
173,2,4,2,12,300,25,1,75,0,1,0
0,2,4,3,12,0,0,0,0,0,0,1
20,2,5,1,13,300,10,1,25,1,0,0
97,2,5,2,13,100,25,1,50,1,0,0
0,2,5,3,13,0,0,0,0,0,0,1
21,2,6,1,14,500,10,1,25,1,0,0
53,2,6,2,14,300,50,2,25,0,1,0
0,2,6,3,14,0,0,0,0,0,0,1
50,2,7,1,15,300,50,2,25,1,0,0
170,2,7,2,15,300,25,1,75,1,0,0
0,2,7,3,15,0,0,0,0,0,0,1
39,2,8,1,16,500,10,2,25,1,0,0
119,2,8,2,16,300,25,2,50,0,1,0
0,2,8,3,16,0,0,0,0,0,0,1
133,3,1,1,17,100,25,4,50,1,0,0
96,3,1,2,17,500,10,1,50,0,1,0
0,3,1,3,17,0,0,0,0,0,0,1
27,3,2,1,18,500,25,1,25,1,0,0
43,3,2,2,18,100,25,2,25,1,0,0
0,3,2,3,18,0,0,0,0,0,0,1
173,3,3,1,19,300,25,1,75,0,1,0
183,3,3,2,19,500,10,2,75,1,0,0
0,3,3,3,19,0,0,0,0,0,0,1
157,3,4,1,20,100,50,0.5,75,1,0,0
27,3,4,2,20,500,25,1,25,1,0,0
0,3,4,3,20,0,0,0,0,0,0,1
125,3,5,1,21,300,50,2,50,0,1,0
13,3,5,2,21,100,50,0.5,25,1,0,0
0,3,5,3,21,0,0,0,0,0,0,1
162,3,6,1,22,500,50,0.5,75,0,1,0
198,3,6,2,22,500,50,2,75,0,1,0
0,3,6,3,22,0,0,0,0,0,0,1
28,3,7,1,23,100,25,1,25,0,1,0
7,3,7,2,23,100,25,0.5,25,1,0,0
0,3,7,3,23,0,0,0,0,0,0,1
187,3,8,1,24,100,25,2,75,1,0,0
167,3,8,2,24,300,10,1,75,0,1,0
0,3,8,3,24,0,0,0,0,0,0,1
191,4,1,1,25,300,25,2,75,0,1,0
94,4,1,2,25,100,10,1,50,0,1,0
0,4,1,3,25,0,0,0,0,0,0,1
2,4,2,1,26,300,10,0.5,25,1,0,0
108,4,2,2,26,500,50,1,50,0,1,0
0,4,2,3,26,0,0,0,0,0,0,1
195,4,3,1,27,500,50,2,75,1,0,0
214,4,3,2,27,100,50,4,75,0,1,0
0,4,3,3,27,0,0,0,0,0,0,1
163,4,4,1,28,100,10,1,75,1,0,0
8,4,4,2,28,300,25,0.5,25,1,0,0
0,4,4,3,28,0,0,0,0,0,0,1
71,4,5,1,29,300,50,4,25,0,1,0
154,4,5,2,29,100,25,0.5,75,0,1,0
0,4,5,3,29,0,0,0,0,0,0,1
115,4,6,1,30,100,25,2,50,1,0,0
171,4,6,2,30,500,25,1,75,1,0,0
0,4,6,3,30,0,0,0,0,0,0,1
83,4,7,1,31,300,25,0.5,50,0,1,0
