profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
1088,1,1,1,1,200,20,0.5,60,40,1,0,0,1,0
644,1,1,2,1,200,15,4,60,30,0,1,1,0,0
0,1,1,3,1,0,0,0,0,0,0,0,0,0,1
1072,1,2,1,2,100,10,4,60,40,0,1,1,0,0
722,1,2,2,2,200,10,0.5,70,30,1,0,1,0,0
0,1,2,3,2,0,0,0,0,0,0,0,0,0,1
1279,1,3,1,3,100,10,4,70,40,1,0,0,1,0
868,1,3,2,3,100,15,0.5,50,40,1,0,1,0,0
0,1,3,3,3,0,0,0,0,0,0,0,0,0,1
308,1,4,1,4,200,10,1,70,20,1,0,1,0,0
116,1,4,2,4,200,20,2,50,20,1,0,0,1,0
0,1,4,3,4,0,0,0,0,0,0,0,0,0,1
891,1,5,1,5,300,20,1,50,40,1,0,1,0,0
75,1,5,2,5,300,10,0.5,50,20,1,0,0,1,0
0,1,5,3,5,0,0,0,0,0,0,0,0,0,1
854,1,6,1,6,200,20,4,70,30,1,0,0,1,0
553,1,6,2,6,100,15,2,50,30,0,1,0,1,0
0,1,6,3,6,0,0,0,0,0,0,0,0,0,1
110,1,7,1,7,200,10,2,50,20,1,0,0,1,0
348,1,7,2,7,300,15,4,70,20,1,0,1,0,0
0,1,7,3,7,0,0,0,0,0,0,0,0,0,1
401,1,8,1,8,200,15,2,70,20,1,0,0,1,0
1184,1,8,2,8,200,15,1,70,40,0,1,1,0,0
0,1,8,3,8,0,0,0,0,0,0,0,0,0,1
1101,2,1,1,9,300,10,1,60,40,1,0,0,1,0
1092,2,1,2,9,300,10,0.5,60,40,0,1,0,1,0
0,2,1,3,9,0,0,0,0,0,0,0,0,0,1
716,2,2,1,10,200,15,4,60,30,0,1,0,1,0
1137,2,2,2,10,300,10,4,60,40,1,0,0,1,0
0,2,2,3,10,0,0,0,0,0,0,0,0,0,1
92,2,3,1,11,200,10,1,50,20,1,0,0,1,0
898,2,3,2,11,100,20,1,50,40,0,1,1,0,0
0,2,3,3,11,0,0,0,0,0,0,0,0,0,1
1026,2,4,1,12,300,20,0.5,60,40,0,1,1,0,0
896,2,4,2,12,200,15,1,50,40,0,1,1,0,0
0,2,4,3,12,0,0,0,0,0,0,0,0,0,1
653,2,5,1,13,200,15,0.5,60,30,1,0,0,1,0
132,2,5,2,13,300,15,4,50,20,1,0,0,1,0
0,2,5,3,13,0,0,0,0,0,0,0,0,0,1
1186,2,6,1,14,100,20,1,70,40,0,1,1,0,0
424,2,6,2,14,100,10,4,70,20,0,1,0,1,0
0,2,6,3,14,0,0,0,0,0,0,0,0,0,1
722,2,7,1,15,200,10,0.5,70,30,1,0,1,0,0
981,2,7,2,15,300,20,2,50,40,1,0,0,1,0
0,2,7,3,15,0,0,0,0,0,0,0,0,0,1
327,2,8,1,16,300,10,2,70,20,1,0,1,0,0
914,2,8,2,16,200,15,2,50,40,0,1,1,0,0
0,2,8,3,16,0,0,0,0,0,0,0,0,0,1
1133,3,1,1,17,200,20,2,60,40,0,1,0,1,0
776,3,1,2,17,200,10,4,70,30,1,0,1,0,0
0,3,1,3,17,0,0,0,0,0,0,0,0,0,1
1249,3,2,1,18,100,20,1,70,40,1,0,0,1,0
1022,3,2,2,18,200,15,0.5,60,40,0,1,1,0,0
0,3,2,3,18,0,0,0,0,0,0,0,0,0,1
1020,3,3,1,19,300,10,0.5,60,40,0,1,1,0,0
46,3,3,2,19,100,10,2,50,20,0,1,1,0,0
0,3,3,3,19,0,0,0,0,0,0,0,0,0,1
653,3,4,1,20,200,15,0.5,60,30,1,0,0,1,0
994,3,4,2,20,100,15,4,50,40,1,0,0,1,0
0,3,4,3,20,0,0,0,0,0,0,0,0,0,1
752,3,5,1,21,200,15,1,70,30,0,1,1,0,0
333,3,5,2,21,300,20,2,70,20,1,0,1,0,0
0,3,5,3,21,0,0,0,0,0,0,0,0,0,1
704,3,6,1,22,200,10,4,60,30,1,0,0,1,0
403,3,6,2,22,100,20,2,70,20,1,0,0,1,0
0,3,6,3,22,0,0,0,0,0,0,0,0,0,1
52,3,7,1,23,100,20,2,50,20,0,1,1,0,0
1170,3,7,2,23,300,20,0.5,70,40,0,1,1,0,0
0,3,7,3,23,0,0,0,0,0,0,0,0,0,1
658,3,8,1,24,100,10,0.5,60,30,0,1,0,1,0
502,3,8,2,24,100,20,4,50,30,0,1,1,0,0
0,3,8,3,24,0,0,0,0,0,0,0,0,0,1
1166,4,1,1,25,200,15,0.5,70,40,0,1,1,0,0
60,4,1,2,25,300,15,4,50,20,1,0,1,0,0
0,4,1,3,25,0,0,0,0,0,0,0,0,0,1
517,4,2,1,26,100,15,0.5,50,30,0,1,0,1,0
777,4,2,2,26,300,10,4,70,30,1,0,1,0,0
0,4,2,3,26,0,0,0,0,0,0,0,0,0,1
663,4,3,1,27,300,15,0.5,60,30,0,1,0,1,0
650,4,3,2,27,200,10,0.5,60,30,1,0,0,1,0
0,4,3,3,27,0,0,0,0,0,0,0,0,0,1
132,4,4,1,28,300,15,4,50,20,1,0,0,1,0
464,4,4,2,28,200,15,1,50,30,0,1,1,0,0
0,4,4,3,28,0,0,0,0,0,0,0,0,0,1
626,4,5,1,29,200,15,2,60,30,0,1,1,0,0
53,4,5,2,29,200,20,2,50,20,0,1,1,0,0
0,4,5,3,29,0,0,0,0,0,0,0,0,0,1
658,4,6,1,30,100,10,0.5,60,30,0,1,0,1,0
397,4,6,2,30,100,10,2,70,20,1,0,0,1,0
0,4,6,3,30,0,0,0,0,0,0,0,0,0,1
37,4,7,1,31,100,10,2,50,20,1,0,1,0,0
780,4,7,2,31,300,15,4,70,30,1,0,1,0,0
0,4,7,3,31,0,0,0,0,0,0,0,0,0,1
240,4,8,1,32,300,15,1,60,20,1,0,0,1,0
98,4,8,2,32,200,20,1,50,20,1,0,0,1,0
0,4,8,3,32,0,0,0,0,0,0,0,0,0,1
198,5,1,1,33,300,20,2,60,20,0,1,1,0,0
330,5,1,2,33,300,15,2,70,20,1,0,1,0,0
0,5,1,3,33,0,0,0,0,0,0,0,0,0,1
369,5,2,1,34,300,20,0.5,70,20,1,0,0,1,0
891,5,2,2,34,300,20,1,50,40,1,0,1,0,0
0,5,2,3,34,0,0,0,0,0,0,0,0,0,1
507,5,3,1,35,300,10,0.5,50,30,1,0,0,1,0
546,5,3,2,35,300,15,2,50,30,1,0,0,1,0
0,5,3,3,35,0,0,0,0,0,0,0,0,0,1
1121,5,4,1,36,200,15,2,60,40,1,0,0,1,0
1015,5,4,2,36,100,20,0.5,60,40,1,0,1,0,0
0,5,4,3,36,0,0,0,0,0,0,0,0,0,1
499,5,5,1,37,100,15,4,50,30,0,1,1,0,0
47,5,5,2,37,200,10,2,50,20,0,1,1,0,0
0,5,5,3,37,0,0,0,0,0,0,0,0,0,1
894,5,6,1,38,300,10,1,50,40,0,1,1,0,0
911,5,6,2,38,200,10,2,50,40,0,1,1,0,0
0,5,6,3,38,0,0,0,0,0,0,0,0,0,1
546,5,7,1,39,300,15,2,50,30,1,0,0,1,0
997,5,7,2,39,100,20,4,50,40,1,0,0,1,0
0,5,7,3,39,0,0,0,0,0,0,0,0,0,1
940,5,8,1,40,100,15,0.5,50,40,1,0,0,1,0
221,5,8,2,40,200,15,0.5,60,20,1,0,0,1,0
0,5,8,3,40,0,0,0,0,0,0,0,0,0,1
180,6,1,1,41,300,20,1,60,20,0,1,1,0,0
1267,6,1,2,41,100,20,2,70,40,1,0,0,1,0
0,6,1,3,41,0,0,0,0,0,0,0,0,0,1
669,6,2,1,42,300,10,1,60,30,1,0,0,1,0
424,6,2,2,42,100,10,4,70,20,0,1,0,1,0
0,6,2,3,42,0,0,0,0,0,0,0,0,0,1
1152,6,3,1,43,300,20,4,60,40,0,1,0,1,0
1270,6,3,2,43,100,10,2,70,40,0,1,0,1,0
0,6,3,3,43,0,0,0,0,0,0,0,0,0,1
932,6,4,1,44,200,15,4,50,40,0,1,1,0,0
166,6,4,2,44,100,15,1,60,20,1,0,1,0,0
0,6,4,3,44,0,0,0,0,0,0,0,0,0,1
962,6,5,1,45,200,20,1,50,40,1,0,0,1,0
43,6,5,2,45,100,20,2,50,20,1,0,1,0,0
0,6,5,3,45,0,0,0,0,0,0,0,0,0,1
1231,6,6,1,46,100,20,0.5,70,40,1,0,0,1,0
751,6,6,2,46,100,15,1,70,30,0,1,1,0,0
0,6,6,3,46,0,0,0,0,0,0,0,0,0,1
885,6,7,1,47,300,10,1,50,40,1,0,1,0,0
523,6,7,2,47,100,10,1,50,30,1,0,0,1,0
0,6,7,3,47,0,0,0,0,0,0,0,0,0,1
633,6,8,1,48,300,10,4,60,30,1,0,1,0,0
676,6,8,2,48,100,10,1,60,30,0,1,0,1,0
0,6,8,3,48,0,0,0,0,0,0,0,0,0,1
386,7,1,1,49,200,20,1,70,20,1,0,0,1,0
67,7,1,2,49,100,15,4,50,20,0,1,1,0,0
0,7,1,3,49,0,0,0,0,0,0,0,0,0,1
1058,7,2,1,50,200,15,2,60,40,0,1,1,0,0
183,7,2,2,50,300,10,2,60,20,1,0,1,0,0
0,7,2,3,50,0,0,0,0,0,0,0,0,0,1
352,7,3,1,51,100,10,4,70,20,0,1,1,0,0
933,7,3,2,51,300,15,4,50,40,0,1,1,0,0
0,7,3,3,51,0,0,0,0,0,0,0,0,0,1
1281,7,4,1,52,300,10,4,70,40,1,0,0,1,0
244,7,4,2,52,100,10,1,60,20,0,1,0,1,0
0,7,4,3,52,0,0,0,0,0,0,0,0,0,1
304,7,5,1,53,100,20,0.5,70,20,0,1,1,0,0
867,7,5,2,53,300,10,0.5,50,40,1,0,1,0,0
0,7,5,3,53,0,0,0,0,0,0,0,0,0,1
1205,7,6,1,54,200,20,2,70,40,0,1,1,0,0
598,7,6,2,54,100,15,1,60,30,1,0,1,0,0
0,7,6,3,54,0,0,0,0,0,0,0,0,0,1
1000,7,7,1,55,100,10,4,50,40,0,1,0,1,0
47,7,7,2,55,200,10,2,50,20,0,1,1,0,0
0,7,7,3,55,0,0,0,0,0,0,0,0,0,1
504,7,8,1,56,300,20,4,50,30,0,1,1,0,0
1117,7,8,2,56,100,10,2,60,40,1,0,0,1,0
0,7,8,3,56,0,0,0,0,0,0,0,0,0,1
634,8,1,1,57,100,15,4,60,30,1,0,1,0,0
237,8,1,2,57,300,10,1,60,20,1,0,0,1,0
0,8,1,3,57,0,0,0,0,0,0,0,0,0,1
452,8,2,1,58,200,10,1,50,30,1,0,1,0,0
258,8,2,2,58,300,15,2,60,20,1,0,0,1,0
0,8,2,3,58,0,0,0,0,0,0,0,0,0,1
1076,8,3,1,59,200,15,4,60,40,0,1,1,0,0
823,8,3,2,59,100,15,1,70,30,0,1,0,1,0
0,8,3,3,59,0,0,0,0,0,0,0,0,0,1
1022,8,4,1,60,200,15,0.5,60,40,0,1,1,0,0
600,8,4,2,60,300,15,1,60,30,1,0,1,0,0
0,8,4,3,60,0,0,0,0,0,0,0,0,0,1
348,8,5,1,61,300,15,4,70,20,1,0,1,0,0
1267,8,5,2,61,100,20,2,70,40,1,0,0,1,0
0,8,5,3,61,0,0,0,0,0,0,0,0,0,1
1265,8,6,1,62,200,15,2,70,40,1,0,0,1,0
649,8,6,2,62,100,10,0.5,60,30,1,0,0,1,0
0,8,6,3,62,0,0,0,0,0,0,0,0,0,1
1104,8,7,1,63,300,15,1,60,40,1,0,0,1,0
641,8,7,2,63,200,10,4,60,30,0,1,1,0,0
0,8,7,3,63,0,0,0,0,0,0,0,0,0,1
1123,8,8,1,64,100,20,2,60,40,1,0,0,1,0
113,8,8,2,64,200,15,2,50,20,1,0,0,1,0
0,8,8,3,64,0,0,0,0,0,0,0,0,0,1
338,9,1,1,65,200,15,2,70,20,0,1,1,0,0
1206,9,1,2,65,300,20,2,70,40,0,1,1,0,0
0,9,1,3,65,0,0,0,0,0,0,0,0,0,1
1249,9,2,1,66,100,20,1,70,40,1,0,0,1,0
353,9,2,2,66,200,10,4,70,20,0,1,1,0,0
0,9,2,3,66,0,0,0,0,0,0,0,0,0,1
676,9,3,1,67,100,10,1,60,30,0,1,0,1,0
874,9,3,2,67,100,10,0.5,50,40,0,1,1,0,0
0,9,3,3,67,0,0,0,0,0,0,0,0,0,1
646,9,4,1,68,100,20,4,60,30,0,1,1,0,0
927,9,4,2,68,300,20,4,50,40,1,0,1,0,0
0,9,4,3,68,0,0,0,0,0,0,0,0,0,1
83,9,5,1,69,200,10,0.5,50,20,0,1,0,1,0
