profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
716,1,1,1,1,200,15,4,60,30,0,1,0,1,0
34,1,1,2,1,100,20,1,50,20,0,1,1,0,0
0,1,1,3,1,0,0,0,0,0,0,0,0,0,1
761,1,2,1,2,200,15,2,70,30,1,0,1,0,0
335,1,2,2,2,200,10,2,70,20,0,1,1,0,0
0,1,2,3,2,0,0,0,0,0,0,0,0,0,1
515,1,3,1,3,200,10,0.5,50,30,0,1,0,1,0
359,1,3,2,3,200,20,4,70,20,0,1,1,0,0
0,1,3,3,3,0,0,0,0,0,0,0,0,0,1
760,1,4,1,4,100,15,2,70,30,1,0,1,0,0
888,1,4,2,4,300,15,1,50,40,1,0,1,0,0
0,1,4,3,4,0,0,0,0,0,0,0,0,0,1
1237,1,5,1,5,100,15,0.5,70,40,0,1,0,1,0
796,1,5,2,5,100,15,0.5,70,30,1,0,0,1,0
0,1,5,3,5,0,0,0,0,0,0,0,0,0,1
178,1,6,1,6,100,20,1,60,20,0,1,1,0,0
412,1,6,2,6,100,20,2,70,20,0,1,0,1,0
0,1,6,3,6,0,0,0,0,0,0,0,0,0,1
73,1,7,1,7,100,10,0.5,50,20,1,0,0,1,0
656,1,7,2,7,200,20,0.5,60,30,1,0,0,1,0
0,1,7,3,7,0,0,0,0,0,0,0,0,0,1
783,1,8,1,8,300,20,4,70,30,1,0,1,0,0
333,1,8,2,8,300,20,2,70,20,1,0,1,0,0
0,1,8,3,8,0,0,0,0,0,0,0,0,0,1
1217,2,1,1,9,200,10,4,70,40,0,1,1,0,0
903,2,1,2,9,300,10,2,50,40,1,0,1,0,0
0,2,1,3,9,0,0,0,0,0,0,0,0,0,1
1020,2,2,1,10,300,10,0.5,60,40,0,1,1,0,0
308,2,2,2,10,200,10,1,70,20,1,0,1,0,0
0,2,2,3,10,0,0,0,0,0,0,0,0,0,1
77,2,3,1,11,200,15,0.5,50,20,1,0,0,1,0
1178,2,3,2,11,200,20,1,70,40,1,0,1,0,0
0,2,3,3,11,0,0,0,0,0,0,0,0,0,1
351,2,4,1,12,300,20,4,70,20,1,0,1,0,0
1060,2,4,2,12,100,20,2,60,40,0,1,1,0,0
0,2,4,3,12,0,0,0,0,0,0,0,0,0,1
195,2,5,1,13,300,15,2,60,20,0,1,1,0,0
772,2,5,2,13,100,20,2,70,30,0,1,1,0,0
0,2,5,3,13,0,0,0,0,0,0,0,0,0,1
1107,2,6,1,14,300,20,1,60,40,1,0,0,1,0
