profileID,respID,qID,altID,obsID,cashback,warranty,frequency,discharge,remain,no_choice
33,1,1,1,1,10,85,4,10,50,0
72,1,1,2,1,10,90,4,15,50,0
0,1,1,3,1,0,0,0,0,0,1
256,1,2,1,2,5,85,1,15,70,0
166,1,2,2,2,5,85,3,15,60,0
0,1,2,3,2,0,0,0,0,0,1
25,1,3,1,3,5,90,3,10,50,0
67,1,3,2,3,5,85,4,15,50,0
0,1,3,3,3,0,0,0,0,0,1
62,1,4,1,4,7,90,3,15,50,0
166,1,4,2,4,5,85,3,15,60,0
0,1,4,3,4,0,0,0,0,0,1
105,1,5,1,5,10,85,4,20,50,0
323,1,5,2,5,7,90,4,20,70,0
0,1,5,3,5,0,0,0,0,0,1
206,1,6,1,6,7,90,3,20,60,0
259,1,6,2,6,5,90,1,15,70,0
0,1,6,3,6,0,0,0,0,0,1
285,2,1,1,7,10,85,4,15,70,0
247,2,1,2,7,5,85,4,10,70,0
0,2,1,3,7,0,0,0,0,0,1
28,2,2,1,8,5,80,4,10,50,0
64,2,2,2,8,5,80,4,15,50,0
0,2,2,3,8,0,0,0,0,0,1
284,2,3,1,9,7,85,4,15,70,0
276,2,3,2,9,10,85,3,15,70,0
0,2,3,3,9,0,0,0,0,0,1
11,2,4,1,10,7,80,2,10,50,0
200,2,4,2,10,7,80,3,20,60,0
0,2,4,3,10,0,0,0,0,0,1
204,2,5,1,11,10,85,3,20,60,0
259,2,5,2,11,5,90,1,15,70,0
0,2,5,3,11,0,0,0,0,0,1
317,2,6,1,12,7,80,4,20,70,0
211,2,6,2,12,5,85,4,20,60,0
0,2,6,3,12,0,0,0,0,0,1
219,3,1,1,13,10,80,1,10,70,0
253,3,1,2,13,5,80,1,15,70,0
0,3,1,3,13,0,0,0,0,0,1
269,3,2,1,14,7,90,2,15,70,0
221,3,2,2,14,7,85,1,10,70,0
0,3,2,3,14,0,0,0,0,0,1
263,3,3,1,15,7,80,2,15,70,0
92,3,3,2,15,7,80,3,20,50,0
0,3,3,3,15,0,0,0,0,0,1
108,3,4,1,16,10,90,4,20,50,0
225,3,4,2,16,10,90,1,10,70,0
0,3,4,3,16,0,0,0,0,0,1
238,3,5,1,17,5,85,3,10,70,0
76,3,5,2,17,5,85,1,20,50,0
0,3,5,3,17,0,0,0,0,0,1
14,3,6,1,18,7,85,2,10,50,0
324,3,6,2,18,10,90,4,20,70,0
0,3,6,3,18,0,0,0,0,0,1
265,4,1,1,19,5,85,2,15,70,0
245,4,1,2,19,7,80,4,10,70,0
0,4,1,3,19,0,0,0,0,0,1
166,4,2,1,20,5,85,3,15,60,0
115,4,2,2,20,5,90,1,10,60,0
0,4,2,3,20,0,0,0,0,0,1
68,4,3,1,21,7,85,4,15,50,0
160,4,3,2,21,5,90,2,15,60,0
0,4,3,3,21,0,0,0,0,0,1
269,4,4,1,22,7,90,2,15,70,0
312,4,4,2,22,10,85,3,20,70,0
0,4,4,3,22,0,0,0,0,0,1
309,4,5,1,23,10,80,3,20,70,0
200,4,5,2,23,7,80,3,20,60,0
0,4,5,3,23,0,0,0,0,0,1
322,4,6,1,24,5,90,4,20,70,0
157,4,6,2,24,5,85,2,15,60,0
0,4,6,3,24,0,0,0,0,0,1
220,5,1,1,25,5,85,1,10,70,0
12,5,1,2,25,10,80,2,10,50,0
0,5,1,3,25,0,0,0,0,0,1
53,5,2,1,26,7,90,2,15,50,0
147,5,2,2,26,10,80,1,15,60,0
0,5,2,3,26,0,0,0,0,0,1
160,5,3,1,27,5,90,2,15,60,0
67,5,3,2,27,5,85,4,15,50,0
0,5,3,3,27,0,0,0,0,0,1
99,5,4,1,28,10,90,3,20,50,0
323,5,4,2,28,7,90,4,20,70,0
0,5,4,3,28,0,0,0,0,0,1
197,5,5,1,29,7,90,2,20,60,0
267,5,5,2,29,10,85,2,15,70,0
0,5,5,3,29,0,0,0,0,0,1
3,5,6,1,30,10,80,1,10,50,0
113,5,6,2,30,7,85,1,10,60,0
0,5,6,3,30,0,0,0,0,0,1
292,6,1,1,31,5,85,1,20,70,0
128,6,1,2,31,7,80,3,10,60,0
0,6,1,3,31,0,0,0,0,0,1
235,6,2,1,32,5,80,3,10,70,0
246,6,2,2,32,10,80,4,10,70,0
0,6,2,3,32,0,0,0,0,0,1
286,6,3,1,33,5,90,4,15,70,0
12,6,3,2,33,10,80,2,10,50,0
0,6,3,3,33,0,0,0,0,0,1
103,6,4,1,34,5,85,4,20,50,0
189,6,4,2,34,10,90,1,20,60,0
0,6,4,3,34,0,0,0,0,0,1
322,6,5,1,35,5,90,4,20,70,0
187,6,5,2,35,5,90,1,20,60,0
0,6,5,3,35,0,0,0,0,0,1
206,6,6,1,36,7,90,3,20,60,0
187,6,6,2,36,5,90,1,20,60,0
0,6,6,3,36,0,0,0,0,0,1
33,7,1,1,37,10,85,4,10,50,0
258,7,1,2,37,10,85,1,15,70,0
0,7,1,3,37,0,0,0,0,0,1
176,7,2,1,38,7,85,4,15,60,0
60,7,2,2,38,10,85,3,15,50,0
0,7,2,3,38,0,0,0,0,0,1
35,7,3,1,39,7,90,4,10,50,0
319,7,3,2,39,5,85,4,20,70,0
0,7,3,3,39,0,0,0,0,0,1
290,7,4,1,40,7,80,1,20,70,0
245,7,4,2,40,7,80,4,10,70,0
0,7,4,3,40,0,0,0,0,0,1
206,7,5,1,41,7,90,3,20,60,0
41,7,5,2,41,7,85,1,15,50,0
0,7,5,3,41,0,0,0,0,0,1
260,7,6,1,42,7,90,1,15,70,0
263,7,6,2,42,7,80,2,15,70,0
0,7,6,3,42,0,0,0,0,0,1
222,8,1,1,43,10,85,1,10,70,0
182,8,1,2,43,7,80,1,20,60,0
0,8,1,3,43,0,0,0,0,0,1
24,8,2,1,44,10,85,3,10,50,0
238,8,2,2,44,5,85,3,10,70,0
0,8,2,3,44,0,0,0,0,0,1
194,8,3,1,45,7,85,2,20,60,0
80,8,3,2,45,7,90,1,20,50,0
0,8,3,3,45,0,0,0,0,0,1
164,8,4,1,46,7,80,3,15,60,0
236,8,4,2,46,7,80,3,10,70,0
0,8,4,3,46,0,0,0,0,0,1
301,8,5,1,47,5,85,2,20,70,0
11,8,5,2,47,7,80,2,10,50,0
0,8,5,3,47,0,0,0,0,0,1
71,8,6,1,48,7,90,4,15,50,0
190,8,6,2,48,5,80,2,20,60,0
0,8,6,3,48,0,0,0,0,0,1
291,9,1,1,49,10,80,1,20,70,0
228,9,1,2,49,10,80,2,10,70,0
0,9,1,3,49,0,0,0,0,0,1
225,9,2,1,50,10,90,1,10,70,0
34,9,2,2,50,5,90,4,10,50,0
0,9,2,3,50,0,0,0,0,0,1
130,9,3,1,51,5,85,3,10,60,0
211,9,3,2,51,5,85,4,20,60,0
0,9,3,3,51,0,0,0,0,0,1
176,9,4,1,52,7,85,4,15,60,0
83,9,4,2,52,7,80,2,20,50,0
0,9,4,3,52,0,0,0,0,0,1
155,9,5,1,53,7,80,2,15,60,0
224,9,5,2,53,7,90,1,10,70,0
0,9,5,3,53,0,0,0,0,0,1
1,9,6,1,54,5,80,1,10,50,0
228,9,6,2,54,10,80,2,10,70,0
0,9,6,3,54,0,0,0,0,0,1
231,10,1,1,55,10,85,2,10,70,0
296,10,1,2,55,7,90,1,20,70,0
0,10,1,3,55,0,0,0,0,0,1
193,10,2,1,56,5,85,2,20,60,0
267,10,2,2,56,10,85,2,15,70,0
0,10,2,3,56,0,0,0,0,0,1
66,10,3,1,57,10,80,4,15,50,0
100,10,3,2,57,5,80,4,20,50,0
0,10,3,3,57,0,0,0,0,0,1
192,10,4,1,58,10,80,2,20,60,0
312,10,4,2,58,10,85,3,20,70,0
0,10,4,3,58,0,0,0,0,0,1
74,10,5,1,59,7,80,1,20,50,0
170,10,5,2,59,7,90,3,15,60,0
0,10,5,3,59,0,0,0,0,0,1
35,10,6,1,60,7,90,4,10,50,0
49,10,6,2,60,5,85,2,15,50,0
0,10,6,3,60,0,0,0,0,0,1
283,11,1,1,61,5,85,4,15,70,0
321,11,1,2,61,10,85,4,20,70,0
0,11,1,3,61,0,0,0,0,0,1
247,11,2,1,62,5,85,4,10,70,0
246,11,2,2,62,10,80,4,10,70,0
0,11,2,3,62,0,0,0,0,0,1
154,11,3,1,63,5,80,2,15,60,0
50,11,3,2,63,7,85,2,15,50,0
0,11,3,3,63,0,0,0,0,0,1
119,11,4,1,64,7,80,2,10,60,0
281,11,4,2,64,7,80,4,15,70,0
0,11,4,3,64,0,0,0,0,0,1
78,11,5,1,65,10,85,1,20,50,0
278,11,5,2,65,7,90,3,15,70,0
0,11,5,3,65,0,0,0,0,0,1
41,11,6,1,66,7,85,1,15,50,0
316,11,6,2,66,5,80,4,20,70,0
0,11,6,3,66,0,0,0,0,0,1
317,12,1,1,67,7,80,4,20,70,0
285,12,1,2,67,10,85,4,15,70,0
0,12,1,3,67,0,0,0,0,0,1
80,12,2,1,68,7,90,1,20,50,0
11,12,2,2,68,7,80,2,10,50,0
0,12,2,3,68,0,0,0,0,0,1
126,12,3,1,69,10,90,2,10,60,0
268,12,3,2,69,5,90,2,15,70,0
0,12,3,3,69,0,0,0,0,0,1
272,12,4,1,70,7,80,3,15,70,0
74,12,4,2,70,7,80,1,20,50,0
0,12,4,3,70,0,0,0,0,0,1
60,12,5,1,71,10,85,3,15,50,0
323,12,5,2,71,7,90,4,20,70,0
0,12,5,3,71,0,0,0,0,0,1
176,12,6,1,72,7,85,4,15,60,0
206,12,6,2,72,7,90,3,20,60,0
0,12,6,3,72,0,0,0,0,0,1
41,13,1,1,73,7,85,1,15,50,0
184,13,1,2,73,5,85,1,20,60,0
0,13,1,3,73,0,0,0,0,0,1
290,13,2,1,74,7,80,1,20,70,0
298,13,2,2,74,5,80,2,20,70,0
0,13,2,3,74,0,0,0,0,0,1
131,13,3,1,75,7,85,3,10,60,0
129,13,3,2,75,10,80,3,10,60,0
0,13,3,3,75,0,0,0,0,0,1
265,13,4,1,76,5,85,2,15,70,0
317,13,4,2,76,7,80,4,20,70,0
0,13,4,3,76,0,0,0,0,0,1
40,13,5,1,77,5,85,1,15,50,0
152,13,5,2,77,7,90,1,15,60,0
0,13,5,3,77,0,0,0,0,0,1
101,13,6,1,78,7,80,4,20,50,0
